pageid,title,cleaned_member
469752,Hardinger Band,"['Michael Hardinger', 'Jørgen Thorup', 'B-Joe Johansen', 'Kim Daugaard', 'Flemming Olsen']"
496641,Highway Child,"['Patrick Lykke Heinsøe', 'Christian Norup', 'Andreas Henriksen', 'Paw Eriksen (2)']"
201162,The Hitmakers,"['Jørgen Wulff Krabbenhøft', 'Benny Qvotrup', 'Steen Bergstrøm', 'Erik Grønfeldt Hansen', 'Torben Orls Weinholt Sardorf', 'Erik Grønfeldt Hansen', 'Mogens »Django«\xa0Petersen', 'Bjarne de la Motte']"
441247,Hola Ghost,"['Hola Pete', 'Ghost Brother']"
175270,Hotel Hunger,['Jimmy Jørgensen']
435368,Hunch Bettors,"['Kasper Holm Wejse', 'Jesper Bagger Hviid', 'Jeppe Ladegaard', 'Jon Marius Brogaard Aeppli']"
100742,I Am Bones,"['Johannes Gammelby', 'Christian Winther (2)', 'Jeppe Lindgren', 'Filip Granlie']"
404088,I Got You On Tape,['Jacob Bellens']
479972,Iceage,"['Johan Wieth', 'Elias Bender Rønnenfelt']"
179130,Jackie Boo Flight,"['Hans Erik Lerchenfeld', 'Sven Foged', 'Johnny Thingsager Madsen', 'Kresten Lassen', 'Henning Stærk']"
393543,The Jesus Revolution,[]
199063,Jetpetz,"['Lisbet Frisenette', 'Janus Kampmann', 'Toke Lau']"
181702,Jomfru Ane Band,"['Bjørn Uglebjerg', 'Sanne Brüel', 'Rebecca Brüel', 'Claus Flygare', 'Thomas Carlsen', 'Joachim Ussing', 'Ulla Tvede Eriksen', 'Carsten Bang (2)', 'Simon Harder', 'Anne Marie Helger', 'Tonny Norbrink']"
993708,Junkyard Drive,"['Claus Munch', 'Kristian Johansen', 'Kristoffer Kristensen', 'Oliver Hartmann', 'Mikkel Sjus', 'Birk, Benjamin Høyer']"
176895,Jupiter Day,"['Michael Radmer Johannisson', 'Jesper Wagner', 'Thomas Sørensen', 'Phillip Sørensen', 'Maje Wernberg Clemmesen', 'Mark Rosenér']"
1128406,Kalaset (band),"['Morten Holm Ørsager', 'Sidsel Due', 'Jakob Rønn', 'Anders Mygind', 'Henrik Skov']"
360791,Kellermensch,"['Sebastian Wolff', 'Anders Trans', 'Jan V. Laursen', 'Claudio Wolff Suez', 'Christian Sindermann', 'John V. Laursen']"
975788,Kick The Kangaroo,"['Jesper Haugaard', 'Søren Andersen', 'Flemming Koch', 'Lars Andresen', 'Michael Lund']"
