pageid,title
974956,Claus Bøhling
419216,Henning Pold Christensen
43910,Tim Christensen
217656,Johnny Concrete
477643,Billy Cross
33453,Povl Dissing
668189,Christine Dueholm
292651,René Evald
58806,Michael Falch
241882,Sharin Foo
139483,Per Chr. Frost
170748,Thomas Grue
71612,Ken Gudman
91835,Lars H.U.G.
731868,Morten Hellborn
168070,Thomas Helmig
150529,Lasse Helner
897153,Kim J. Henriksen
342705,Bent Hesselmann
41374,Benny Holst
235556,Søren Huss
204769,Ivan Haki Haagensen
139481,Peter Ingemann (musiker)
71598,Aske Jacoby
947094,Allan Jensen
34073,Nanna Lüders Jensen
304290,Peter Lundholm Jensen
145556,Peer Frost Johansson
399323,Joshua (musikproducer)
738167,Danny Jungslund
139401,Wili Jønsson
54063,C.V. Jørgensen
13227,Flemming Bamse Jørgensen
55595,Lone Kellermann
857013,Kim Larsen & Jungle Dreams
972901,Michael Kolster
304191,Mattias Kolstrup
134605,Anders Koppel
93158,Annisette Koppel
96276,Thomas Koppel
697052,Stig Kreutzfeldt
1000998,Morten Langebæk
31493,Kim Larsen
90669,Peter Laugesen
224647,Holger Laumann
86752,Hans Erik Lerchenfeld
15212,Anne Linnet
419223,Jan Lysdahl
120943,Alex Nyborg Madsen
112641,Johnny Madsen
191742,Johnny Thingsager Madsen
1096254,Rasmus Madsen
729685,Henrik Marstal
272426,Peter Mellin
143639,Kim Menzer
48870,John Mogensen
999097,Peter Molzen
174152,Monique
230235,Lars Muhl
140551,Stig Møller
975535,Cy Nicklin
119760,Elisabeth Gjerluff Nielsen
419203,Jens G. Nielsen
81047,Peter A.G. Nielsen
92895,Nikolaj Nørlund
72884,Knud Odde
201104,Finn Olafsson
86755,Georg Olesen
212529,Thøger Olesen
28880,Allan Olsen (sanger)
1141946,Flemming Olsen
455586,Lee Oskar
202068,Tommy Petersen
225515,James Rasmussen
99094,Søren Rasted
271414,John Ravn
141343,Leif Roden
98831,Pernille Rosendahl
823959,Jens Rugsted
1134703,Vincent Ryder
107155,Sanne Salomonsen
80576,Sebastian (musiker)
12391,Tommy Seebach
323596,Jan Sivertsen (musiker)
28464,Eik Skaløe
138308,Niels Skousen
105475,Kira Skov
225632,Anne Vig Skoven
888444,Carsten Smedegaard
888818,Gert Smedegaard
204898,Laust Sonne
151726,Henrik Strube
142219,Jess Stæhr
178941,Henning Stærk
53522,Lis Sørensen
732917,Ole Bjørn Sørensen
777890,Robin C Taylor
139739,Peter Thorup
168394,Klaus Thrane
224652,Lars Top-Galia
107104,Tobias Trier
975952,Nils Tuxen
141736,Tømrerclaus
35436,Bjørn Uglebjerg
59339,Preben Uglebjerg
50128,Lars Ulrich
62194,Jens Unmack
736287,Mika Vandborg
123016,Peter Viskinde
747562,Johnny Voss
218279,Sune Wagner
427512,Lise Westzynthius
108641,Alberte Winding
116156,Kasper Winding
477943,Arne Würgler
425222,Søren Zahle Schou
887687,Paul Banks
295013,Big Mama
938633,Ronni Boysen
178662,Christianshavns Bluesband
292651,René Evald
904269,Ole Frimer
106019,Jes Holtsø
434410,Jens Jefsen
888594,Troels Jensen
546709,H.P. Lange
1002530,Kenn Lending
149310,Uffe Steen
178941,Henning Stærk
